S,H,V,M,cluster
0,0,0.338156758,1,3
0,0.181818182,0.320241334,1,3
0,0.272727273,0.28700875,1,3
0,0.454545455,0.256283622,1,3
0,0.545454545,0.262839599,1,3
0,0.727272727,0.240966463,1,3
0,0.818181818,0.254410486,1,3
0,1,0.234924175,1,3
0.6,0,0.353473918,1,11
0.6,0.181818182,0.335347054,1,11
0.6,0.272727273,0.335347054,1,11
0.6,0.454545455,0.330029894,1,10
0.6,0.545454545,0.335347054,1,10
0.6,0.727272727,0.305135614,1,10
0.6,0.818181818,0.256283622,1,10
0.6,1,0.235649303,1,10
0.2,0,0.315347054,1,6
0.2,0.181818182,0.283987607,1,6
0.2,0.272727273,0.303262478,1,6
0.2,0.454545455,0.274924175,1,6
0.2,0.545454545,0.260029894,1,6
0.2,0.727272727,0.259818455,1,6
0.2,0.818181818,0.283987607,1,6
0.2,1,0.265860743,1,6
0.8,0,0.323051038,1,1
0.8,0.181818182,0.305135614,1,1
0.8,0.272727273,0.314199046,1,1
0.8,0.454545455,0.30211447,1,1
0.8,0.545454545,0.323262478,1,1
0.8,0.727272727,0.314199046,1,10
0.8,0.818181818,0.323262478,1,5
0.8,1,0.274199046,1,5
0.4,0,0.34743163,1,11
0.4,0.181818182,0.341691591,1,11
0.4,0.272727273,0.296072182,1,6
0.4,0.454545455,0.310398761,1,6
0.4,0.545454545,0.296072182,1,6
0.4,0.727272727,0.31743163,1,10
0.4,0.818181818,0.329304766,1,7
0.4,1,0.308156758,1,5
1,0,0.338368198,1,1
1,0.181818182,0.295014984,1,1
1,0.272727273,0.27199384,1,1
1,0.454545455,0.271903031,1,1
1,0.545454545,0.29220528,1,1
1,0.727272727,0.285347054,1,1
1,0.909090909,0.30211447,1,5
0,0,0.999998728,2,8
0,0.090909091,0.999998728,2,8
0,0.272727273,0.999998728,2,8
0,0.363636364,0.906343265,2,8
0,0.545454545,0.658609459,2,3
0,0.636363636,0.610271155,2,3
0,0.818181818,0.453171669,2,3
0,0.909090909,0.442446541,2,3
0.6,0,0.999998728,2,8
0.6,0.090909091,0.999998728,2,8
0.6,0.272727273,0.975829576,2,8
0.6,0.363636364,0.815708945,2,4
0.6,0.545454545,0.655588315,2,9
0.6,0.636363636,0.628398019,2,9
0.6,0.818181818,0.504531116,2,9
0.6,0.909090909,0.474319677,2,9
0.2,0,0.719032338,2,11
0.2,0.090909091,0.622355731,2,11
0.2,0.272727273,0.531721412,2,7
0.2,0.363636364,0.504531116,2,7
0.2,0.545454545,0.438065949,2,7
0.2,0.636363636,0.398791077,2,7
0.2,0.818181818,0.36253735,2,6
0.8,0,0.999998728,2,4
0.8,0.181818182,0.912385552,2,4
0.8,0.272727273,0.957702712,2,8
0.8,0.454545455,0.75830721,2,4
0.8,0.545454545,0.734138058,2,4
0.8,0.727272727,0.495256245,2,9
0.8,0.818181818,0.468277389,2,9
0.8,1,0.467340821,2,4
0.4,0,0.999998728,2,8
0.4,0.181818182,0.999998728,2,8
0.4,0.272727273,0.999998728,2,8
0.4,0.454545455,0.999998728,2,8
0.4,0.545454545,0.999998728,2,8
0.4,0.727272727,0.854983817,2,8
0.4,0.818181818,0.628398019,2,2
0.4,1,0.549848276,2,2
1,0,0.999998728,2,4
1,0.181818182,0.891237545,2,4
1,0.272727273,0.999998728,2,8
1,0.454545455,0.809666657,2,4
1,0.545454545,0.716011194,2,4
1,0.727272727,0.50755226,2,1
1,0.818181818,0.549848276,2,4
1,1,0.444108237,2,4
0,0,0.389304766,3,3
0,0.181818182,0.365347054,3,3
0,0.272727273,0.368579638,3,3
0,0.454545455,0.338156758,3,3
0,0.545454545,0.31722019,3,3
0,0.727272727,0.319093326,3,3
0,0.818181818,0.335347054,3,3
0,1,0.303262478,3,3
0.6,0.181818182,0.613292299,3,11
0.6,0.363636364,0.425981373,3,10
0.6,0.454545455,0.384621926,3,10
0.6,0.636363636,0.356495062,3,10
0.6,0.727272727,0.350685358,3,5
0.6,0.909090909,0.338368198,3,5
0.6,1,0.344410486,3,5
0.2,0.090909091,0.444108237,3,11
0.2,0.181818182,0.389727645,3,6
0.2,0.363636364,0.356495062,3,6
0.2,0.454545455,0.353473918,3,6
0.2,0.636363636,0.356495062,3,6
0.2,0.727272727,0.314199046,3,6
0.2,0.909090909,0.253776167,3,6
0.8,0,0.574017428,3,11
0.8,0.181818182,0.477340821,3,11
0.8,0.272727273,0.483383109,3,11
0.8,0.454545455,0.407854509,3,10
0.8,0.545454545,0.386706501,3,10
0.8,0.727272727,0.389727645,3,5
0.8,0.818181818,0.365558494,3,5
0.8,1,0.326283622,3,5
0.4,0.181818182,0.664651747,3,11
0.4,0.363636364,0.510573404,3,7
0.4,0.454545455,0.483383109,3,7
0.4,0.636363636,0.395769933,3,7
0.4,0.727272727,0.36253735,3,7
0.4,0.909090909,0.352748789,3,5
0.4,1,0.352960229,3,5
1,0.181818182,0.561932852,3,11
1,0.272727273,0.586102004,3,11
1,0.454545455,0.489425397,3,1
1,0.545454545,0.425981373,3,1
1,0.727272727,0.350452774,3,1
1,0.818181818,0.335347054,3,5
1,1,0.306495062,3,5
0,0.090909091,0.513594548,4,3
0,0.272727273,0.407854509,4,3
0,0.363636364,0.389727645,4,3
0,0.545454545,0.338368198,4,3
0,0.636363636,0.353473918,4,3
0,0.818181818,0.368579638,4,3
0,0.909090909,0.36253735,4,3
0.6,0,0.501509972,4,11
0.6,0.090909091,0.441087093,4,11
0.6,0.363636364,0.404833365,4,10
0.6,0.454545455,0.37764307,4,10
0.6,0.636363636,0.34743163,4,10
0.6,0.727272727,0.330664214,4,10
0.6,0.909090909,0.329304766,4,5
0.6,1,0.309516206,4,5
0.2,0.181818182,0.531721412,4,11
0.2,0.272727273,0.504531116,4,7
0.2,0.454545455,0.438065949,4,7
0.2,0.545454545,0.398791077,4,7
0.2,0.727272727,0.36253735,4,7
0.2,0.818181818,0.314199046,4,6
0.2,1,0.329304766,4,6
0.8,0,0.28125225,4,1
0.8,0.181818182,0.273866976,4,1
0.8,0.272727273,0.256465241,4,1
0.8,0.454545455,0.227522439,4,1
0.8,0.545454545,0.235649303,4,1
0.8,0.727272727,0.207945319,4,1
0.8,0.818181818,0.197733879,4,1
0.4,0.090909091,0.24220528,4,6
0.4,0.181818182,0.240332143,4,6
0.4,0.454545455,0.262839599,4,6
0.4,0.545454545,0.255860743,4,6
0.4,0.727272727,0.233987607,4,6
0.4,0.818181818,0.213096646,4,6
0.4,1,0.234924175,4,10
1,0,0.592144292,4,11
1,0.181818182,0.416917941,4,1
1,0.272727273,0.422960229,4,1
1,0.454545455,0.407854509,4,1
1,0.545454545,0.33232591,4,1
1,0.727272727,0.329304766,4,1
1,0.818181818,0.365558494,4,5
1,1,0.329304766,4,5
0,0,0.58308086,5,3
0,0.181818182,0.311177902,5,3
0,0.272727273,0.277945319,5,3
0,0.454545455,0.335347054,5,3
0,0.545454545,0.229607015,5,3
0,0.727272727,0.290029894,5,3
0,0.818181818,0.30211447,5,3
0,1,0.314199046,5,3
0.6,0,0.558911708,5,11
0.6,0.181818182,0.501509972,5,11
0.6,0.272727273,0.534742556,5,11
0.6,0.454545455,0.489425397,5,7
0.6,0.545454545,0.443805988,5,7
0.6,0.727272727,0.389727645,5,5
0.6,0.818181818,0.395044805,5,5
0.6,1,0.365558494,5,5
0.2,0.181818182,0.422960229,5,11
0.2,0.545454545,0.34743163,5,6
0.2,0.636363636,0.33232591,5,6
0.2,0.909090909,0.296072182,5,6
0.2,1,0.33232591,5,6
0.8,0.090909091,0.419184136,5,11
0.8,0.181818182,0.422839599,5,11
0.8,0.363636364,0.378368198,5,10
0.8,0.454545455,0.371600782,5,10
0.8,0.636363636,0.348791077,5,10
0.8,0.727272727,0.353685358,5,5
0.8,0.909090909,0.323262478,5,5
0.8,1,0.295347054,5,5
0.4,0.181818182,0.471298533,5,11
0.4,0.272727273,0.444108237,5,11
0.4,0.454545455,0.383685358,5,10
0.4,0.545454545,0.350875653,5,10
0.4,0.727272727,0.341389342,5,10
0.4,0.818181818,0.341389342,5,5
0.4,1,0.296072182,5,5
1,0.090909091,0.495467684,5,11
1,0.272727273,0.410875653,5,1
1,0.363636364,0.371600782,5,1
1,0.545454545,0.323262478,5,1
1,0.636363636,0.30211447,5,1
1,0.818181818,0.350452774,5,5
1,0.909090909,0.308156758,5,5
0,0.090909091,0.320241334,1,3
0,0.363636364,0.268881887,1,3
0,0.636363636,0.250241334,1,3
0,0.909090909,0.253776167,1,3
0.6,0.090909091,0.365860743,1,11
0.6,0.363636364,0.326072182,1,11
0.6,0.636363636,0.293776167,1,10
0.6,0.909090909,0.244712735,1,10
0.2,0.090909091,0.296585871,1,6
0.2,0.363636364,0.274712735,1,6
0.2,0.636363636,0.280966463,1,6
0.2,0.909090909,0.229607015,1,6
0.8,0.090909091,0.31700875,1,1
0.8,0.363636364,0.314199046,1,1
0.8,0.636363636,0.305135614,1,10
0.8,0.909090909,0.296072182,1,5
0.4,0.090909091,0.338368198,1,11
0.4,0.363636364,0.30211447,1,6
0.4,0.636363636,0.33232591,1,10
0.4,0.909090909,0.30211447,1,5
1,0.090909091,0.290029894,1,1
1,0.363636364,0.259093326,1,1
1,0.636363636,0.288368198,1,1
1,1,0.28700875,1,5
0,0.181818182,0.999998728,2,8
0,0.454545455,0.78851865,2,2
0,0.727272727,0.586102004,2,3
0,1,0.439213957,2,3
0.6,0.181818182,0.999998728,2,8
0.6,0.454545455,0.725074626,2,9
0.6,0.727272727,0.534742556,2,9
0.6,1,0.450150525,2,4
0.2,0.181818182,0.513594548,2,11
0.2,0.454545455,0.480361965,2,7
0.2,0.727272727,0.371600782,2,6
0.8,0.090909091,0.999998728,2,8
0.8,0.363636364,0.71299005,2,9
0.8,0.636363636,0.628398019,2,4
0.8,0.909090909,0.483383109,2,4
0.4,0.090909091,0.999998728,2,8
0.4,0.363636364,0.999998728,2,8
0.4,0.636363636,0.851962673,2,8
0.4,0.909090909,0.592144292,2,2
1,0.090909091,0.99395644,2,4
1,0.363636364,0.779455218,2,4
1,0.636363636,0.655588315,2,4
1,0.909090909,0.444108237,2,1
0,0.090909091,0.374621926,3,3
0,0.363636364,0.344410486,3,3
0,0.636363636,0.315558494,3,3
0,0.909090909,0.303685358,3,3
0.6,0.272727273,0.492446541,3,11
0.6,0.545454545,0.374706501,3,10
0.6,0.818181818,0.356072182,3,5
0.2,0,0.534742556,3,11
0.2,0.272727273,0.395769933,3,6
0.2,0.545454545,0.353473918,3,6
0.2,0.818181818,0.280966463,3,6
0.8,0.090909091,0.480361965,3,11
0.8,0.363636364,0.432023661,3,10
0.8,0.636363636,0.271903031,3,1
0.8,0.909090909,0.30211447,3,5
0.4,0.272727273,0.549848276,3,7
0.4,0.545454545,0.416917941,3,7
0.4,0.818181818,0.380664214,3,5
1,0.090909091,0.752264922,3,11
1,0.363636364,0.52265798,3,1
1,0.636363636,0.404833365,3,1
1,0.909090909,0.311177902,3,5
0,0.181818182,0.471298533,4,3
0,0.454545455,0.380664214,4,3
0,0.727272727,0.308156758,4,3
0,1,0.359516206,4,3
0.6,0.181818182,0.423473918,4,11
0.6,0.545454545,0.359516206,4,10
0.6,0.818181818,0.333685358,4,5
0.2,0.090909091,0.513594548,4,11
0.2,0.363636364,0.480361965,4,7
0.2,0.636363636,0.371600782,4,7
0.2,0.909090909,0.326283622,4,6
0.8,0.090909091,0.2717824,4,1
0.8,0.363636364,0.24199384,4,1
0.8,0.636363636,0.22700875,4,1
0.4,0,0.263776167,4,6
0.4,0.272727273,0.223564727,4,6
0.4,0.636363636,0.253776167,4,6
0.4,0.909090909,0.209818455,4,6
1,0.090909091,0.462235101,4,11
1,0.363636364,0.413896797,4,1
1,0.636363636,0.34743163,4,1
1,0.909090909,0.335347054,4,5
0,0.090909091,0.444108237,5,3
0,0.363636364,0.296072182,5,3
0,0.636363636,0.356495062,5,3
0,0.909090909,0.320241334,5,3
0.6,0.090909091,0.540784844,5,11
0.6,0.363636364,0.506102004,5,7
0.6,0.636363636,0.401812221,5,7
0.6,0.909090909,0.369002517,5,5
0.2,0.363636364,0.362839599,5,6
0.2,0.818181818,0.320241334,5,6
0.8,0,0.446283622,5,11
0.8,0.272727273,0.391177902,5,11
0.8,0.545454545,0.378156758,5,10
0.8,0.818181818,0.319939085,5,5
0.4,0.090909091,0.519636836,5,11
0.4,0.363636364,0.398791077,5,10
0.4,0.636363636,0.34743163,5,10
0.4,0.909090909,0.323262478,5,5
1,0.181818182,0.444108237,5,1
1,0.454545455,0.353473918,5,1
1,0.727272727,0.36253735,5,1
1,1,0.314199046,5,5
